,relevance,disagree
721-Sagesse Pratique,Irrelevant,False
722-Justice,Irrelevant,False
722-Morale,Irrelevant,False
722-Sagesse Pratique,Irrelevant,False
724-Justice,Irrelevant,False
724-Morale,Irrelevant,False
724-Sagesse Pratique,Relevant,False
725-Justice,Irrelevant,False
725-Morale,Irrelevant,False
725-Sagesse Pratique,Irrelevant,False
726-Justice,Irrelevant,False
726-Morale,Irrelevant,False
726-Sagesse Pratique,Irrelevant,False
727-Justice,Relevant,False
727-Morale,Irrelevant,False
727-Sagesse Pratique,Irrelevant,False
728-Justice,Relevant,False
728-Morale,Irrelevant,False
728-Sagesse Pratique,Relevant,False
729-Justice,Irrelevant,False
729-Morale,Relevant,False
729-Sagesse Pratique,Relevant,False
730-Justice,Irrelevant,False
730-Morale,Irrelevant,False
730-Sagesse Pratique,Irrelevant,False
731-Justice,Irrelevant,False
731-Morale,Irrelevant,False
731-Sagesse Pratique,Irrelevant,False
732-Justice,Relevant,False
732-Morale,Relevant,False
732-Sagesse Pratique,Relevant,False
733-Justice,Irrelevant,False
733-Morale,Irrelevant,False
733-Sagesse Pratique,Irrelevant,False
735-Justice,Irrelevant,False
735-Morale,Relevant,False
735-Sagesse Pratique,Irrelevant,False
736-Justice,Irrelevant,False
736-Morale,Relevant,False
736-Sagesse Pratique,Irrelevant,False
737-Justice,Irrelevant,False
737-Morale,Relevant,False
737-Sagesse Pratique,Irrelevant,False
738-Justice,Irrelevant,False
738-Morale,Relevant,False
738-Sagesse Pratique,Irrelevant,False
739-Justice,Irrelevant,False
739-Morale,Irrelevant,False
739-Sagesse Pratique,Irrelevant,False
740-Justice,Relevant,False
740-Morale,Relevant,False
740-Sagesse Pratique,Irrelevant,False
741-Justice,Relevant,False
741-Morale,Relevant,False
741-Sagesse Pratique,Irrelevant,False
742-Justice,Relevant,False
742-Morale,Irrelevant,False
742-Sagesse Pratique,Irrelevant,False
743-Justice,Irrelevant,False
743-Morale,Irrelevant,False
743-Sagesse Pratique,Irrelevant,False
744-Justice,Relevant,False
744-Morale,Irrelevant,False
744-Sagesse Pratique,Irrelevant,False
